Title,Description,line,line_numbers,indentation,indentation_levels,Parents,Children,instantiations,No_Parent,No_Children,parent_instantiations,Generate_Positive_Instantiation_Questions,Generate_Negative_Instantiation_Questions
Existential_Catastrophe,The destruction of humanity's long-term potential due to AI systems we've lost control over.,0,[0],0,[0],[],[],"['existential_catastrophe_TRUE', 'existential_catastrophe_FALSE']",True,True,[],"{""What is the probability for Existential_Catastrophe=existential_catastrophe_TRUE?"": ""prior""}","{""What is the probability for Existential_Catastrophe=existential_catastrophe_FALSE?"": ""prior""}"
Human_Disempowerment,Permanent and collective disempowerment of humanity relative to AI systems.,1,[1],0,[0],['Scale_Of_Power_Seeking'],[],"['human_disempowerment_TRUE', 'human_disempowerment_FALSE']",False,True,"[['scale_of_power_seeking_TRUE', 'scale_of_power_seeking_FALSE']]","{""What is the probability for Human_Disempowerment=human_disempowerment_TRUE?"": ""prior"", ""What is the probability for Human_Disempowerment=human_disempowerment_TRUE if Scale_Of_Power_Seeking=scale_of_power_seeking_TRUE?"": ""estimate_1"", ""What is the probability for Human_Disempowerment=human_disempowerment_TRUE if Scale_Of_Power_Seeking=scale_of_power_seeking_FALSE?"": ""estimate_2""}","{""What is the probability for Human_Disempowerment=human_disempowerment_FALSE?"": ""prior"", ""What is the probability for Human_Disempowerment=human_disempowerment_FALSE if Scale_Of_Power_Seeking=scale_of_power_seeking_TRUE?"": ""estimate_1"", ""What is the probability for Human_Disempowerment=human_disempowerment_FALSE if Scale_Of_Power_Seeking=scale_of_power_seeking_FALSE?"": ""estimate_2""}"
Scale_Of_Power_Seeking,Power-seeking by AI systems scaling to the point of permanently disempowering all of humanity.,2,[2],4,[4],"['Misaligned_Power_Seeking', 'Corrective_Feedback']",['Human_Disempowerment'],"['scale_of_power_seeking_TRUE', 'scale_of_power_seeking_FALSE']",False,False,"[['misaligned_power_seeking_TRUE', 'misaligned_power_seeking_FALSE'], ['corrective_feedback_EFFECTIVE', 'corrective_feedback_INEFFECTIVE']]","{""What is the probability for Scale_Of_Power_Seeking=scale_of_power_seeking_TRUE?"": ""prior"", ""What is the probability for Scale_Of_Power_Seeking=scale_of_power_seeking_TRUE if Misaligned_Power_Seeking=misaligned_power_seeking_TRUE, Corrective_Feedback=corrective_feedback_EFFECTIVE?"": ""estimate_1"", ""What is the probability for Scale_Of_Power_Seeking=scale_of_power_seeking_TRUE if Misaligned_Power_Seeking=misaligned_power_seeking_TRUE, Corrective_Feedback=corrective_feedback_INEFFECTIVE?"": ""estimate_2"", ""What is the probability for Scale_Of_Power_Seeking=scale_of_power_seeking_TRUE if Misaligned_Power_Seeking=misaligned_power_seeking_FALSE, Corrective_Feedback=corrective_feedback_EFFECTIVE?"": ""estimate_3"", ""What is the probability for Scale_Of_Power_Seeking=scale_of_power_seeking_TRUE if Misaligned_Power_Seeking=misaligned_power_seeking_FALSE, Corrective_Feedback=corrective_feedback_INEFFECTIVE?"": ""estimate_4""}","{""What is the probability for Scale_Of_Power_Seeking=scale_of_power_seeking_FALSE?"": ""prior"", ""What is the probability for Scale_Of_Power_Seeking=scale_of_power_seeking_FALSE if Misaligned_Power_Seeking=misaligned_power_seeking_TRUE, Corrective_Feedback=corrective_feedback_EFFECTIVE?"": ""estimate_1"", ""What is the probability for Scale_Of_Power_Seeking=scale_of_power_seeking_FALSE if Misaligned_Power_Seeking=misaligned_power_seeking_TRUE, Corrective_Feedback=corrective_feedback_INEFFECTIVE?"": ""estimate_2"", ""What is the probability for Scale_Of_Power_Seeking=scale_of_power_seeking_FALSE if Misaligned_Power_Seeking=misaligned_power_seeking_FALSE, Corrective_Feedback=corrective_feedback_EFFECTIVE?"": ""estimate_3"", ""What is the probability for Scale_Of_Power_Seeking=scale_of_power_seeking_FALSE if Misaligned_Power_Seeking=misaligned_power_seeking_FALSE, Corrective_Feedback=corrective_feedback_INEFFECTIVE?"": ""estimate_4""}"
Misaligned_Power_Seeking,Deployed AI systems seeking power in unintended and high-impact ways due to problems with their objectives.,3,"[3, 21, 23, 25]",8,"[8, 0, 0, 0]","['APS_Systems', 'Difficulty_Of_Alignment', 'Deployment_Decisions']",['Scale_Of_Power_Seeking'],"['misaligned_power_seeking_TRUE', 'misaligned_power_seeking_FALSE']",False,False,"[['aps_systems_TRUE', 'aps_systems_FALSE'], ['difficulty_of_alignment_TRUE', 'difficulty_of_alignment_FALSE'], ['deployment_decisions_DEPLOY', 'deployment_decisions_WITHHOLD']]","{""What is the probability for Misaligned_Power_Seeking=misaligned_power_seeking_TRUE?"": ""prior"", ""What is the probability for Misaligned_Power_Seeking=misaligned_power_seeking_TRUE if APS_Systems=aps_systems_TRUE, Difficulty_Of_Alignment=difficulty_of_alignment_TRUE, Deployment_Decisions=deployment_decisions_DEPLOY?"": ""estimate_1"", ""What is the probability for Misaligned_Power_Seeking=misaligned_power_seeking_TRUE if APS_Systems=aps_systems_TRUE, Difficulty_Of_Alignment=difficulty_of_alignment_TRUE, Deployment_Decisions=deployment_decisions_WITHHOLD?"": ""estimate_2"", ""What is the probability for Misaligned_Power_Seeking=misaligned_power_seeking_TRUE if APS_Systems=aps_systems_TRUE, Difficulty_Of_Alignment=difficulty_of_alignment_FALSE, Deployment_Decisions=deployment_decisions_DEPLOY?"": ""estimate_3"", ""What is the probability for Misaligned_Power_Seeking=misaligned_power_seeking_TRUE if APS_Systems=aps_systems_TRUE, Difficulty_Of_Alignment=difficulty_of_alignment_FALSE, Deployment_Decisions=deployment_decisions_WITHHOLD?"": ""estimate_4"", ""What is the probability for Misaligned_Power_Seeking=misaligned_power_seeking_TRUE if APS_Systems=aps_systems_FALSE, Difficulty_Of_Alignment=difficulty_of_alignment_TRUE, Deployment_Decisions=deployment_decisions_DEPLOY?"": ""estimate_5"", ""What is the probability for Misaligned_Power_Seeking=misaligned_power_seeking_TRUE if APS_Systems=aps_systems_FALSE, Difficulty_Of_Alignment=difficulty_of_alignment_TRUE, Deployment_Decisions=deployment_decisions_WITHHOLD?"": ""estimate_6"", ""What is the probability for Misaligned_Power_Seeking=misaligned_power_seeking_TRUE if APS_Systems=aps_systems_FALSE, Difficulty_Of_Alignment=difficulty_of_alignment_FALSE, Deployment_Decisions=deployment_decisions_DEPLOY?"": ""estimate_7"", ""What is the probability for Misaligned_Power_Seeking=misaligned_power_seeking_TRUE if APS_Systems=aps_systems_FALSE, Difficulty_Of_Alignment=difficulty_of_alignment_FALSE, Deployment_Decisions=deployment_decisions_WITHHOLD?"": ""estimate_8""}","{""What is the probability for Misaligned_Power_Seeking=misaligned_power_seeking_FALSE?"": ""prior"", ""What is the probability for Misaligned_Power_Seeking=misaligned_power_seeking_FALSE if APS_Systems=aps_systems_TRUE, Difficulty_Of_Alignment=difficulty_of_alignment_TRUE, Deployment_Decisions=deployment_decisions_DEPLOY?"": ""estimate_1"", ""What is the probability for Misaligned_Power_Seeking=misaligned_power_seeking_FALSE if APS_Systems=aps_systems_TRUE, Difficulty_Of_Alignment=difficulty_of_alignment_TRUE, Deployment_Decisions=deployment_decisions_WITHHOLD?"": ""estimate_2"", ""What is the probability for Misaligned_Power_Seeking=misaligned_power_seeking_FALSE if APS_Systems=aps_systems_TRUE, Difficulty_Of_Alignment=difficulty_of_alignment_FALSE, Deployment_Decisions=deployment_decisions_DEPLOY?"": ""estimate_3"", ""What is the probability for Misaligned_Power_Seeking=misaligned_power_seeking_FALSE if APS_Systems=aps_systems_TRUE, Difficulty_Of_Alignment=difficulty_of_alignment_FALSE, Deployment_Decisions=deployment_decisions_WITHHOLD?"": ""estimate_4"", ""What is the probability for Misaligned_Power_Seeking=misaligned_power_seeking_FALSE if APS_Systems=aps_systems_FALSE, Difficulty_Of_Alignment=difficulty_of_alignment_TRUE, Deployment_Decisions=deployment_decisions_DEPLOY?"": ""estimate_5"", ""What is the probability for Misaligned_Power_Seeking=misaligned_power_seeking_FALSE if APS_Systems=aps_systems_FALSE, Difficulty_Of_Alignment=difficulty_of_alignment_TRUE, Deployment_Decisions=deployment_decisions_WITHHOLD?"": ""estimate_6"", ""What is the probability for Misaligned_Power_Seeking=misaligned_power_seeking_FALSE if APS_Systems=aps_systems_FALSE, Difficulty_Of_Alignment=difficulty_of_alignment_FALSE, Deployment_Decisions=deployment_decisions_DEPLOY?"": ""estimate_7"", ""What is the probability for Misaligned_Power_Seeking=misaligned_power_seeking_FALSE if APS_Systems=aps_systems_FALSE, Difficulty_Of_Alignment=difficulty_of_alignment_FALSE, Deployment_Decisions=deployment_decisions_WITHHOLD?"": ""estimate_8""}"
APS_Systems,"AI systems with advanced capabilities, agentic planning, and strategic awareness.",4,[4],12,[12],"['Advanced_AI_Capability', 'Agentic_Planning', 'Strategic_Awareness']",['Misaligned_Power_Seeking'],"['aps_systems_TRUE', 'aps_systems_FALSE']",False,False,"[['advanced_ai_capability_TRUE', 'advanced_ai_capability_FALSE'], ['agentic_planning_TRUE', 'agentic_planning_FALSE'], ['strategic_awareness_TRUE', 'strategic_awareness_FALSE']]","{""What is the probability for APS_Systems=aps_systems_TRUE?"": ""prior"", ""What is the probability for APS_Systems=aps_systems_TRUE if Advanced_AI_Capability=advanced_ai_capability_TRUE, Agentic_Planning=agentic_planning_TRUE, Strategic_Awareness=strategic_awareness_TRUE?"": ""estimate_1"", ""What is the probability for APS_Systems=aps_systems_TRUE if Advanced_AI_Capability=advanced_ai_capability_TRUE, Agentic_Planning=agentic_planning_TRUE, Strategic_Awareness=strategic_awareness_FALSE?"": ""estimate_2"", ""What is the probability for APS_Systems=aps_systems_TRUE if Advanced_AI_Capability=advanced_ai_capability_TRUE, Agentic_Planning=agentic_planning_FALSE, Strategic_Awareness=strategic_awareness_TRUE?"": ""estimate_3"", ""What is the probability for APS_Systems=aps_systems_TRUE if Advanced_AI_Capability=advanced_ai_capability_TRUE, Agentic_Planning=agentic_planning_FALSE, Strategic_Awareness=strategic_awareness_FALSE?"": ""estimate_4"", ""What is the probability for APS_Systems=aps_systems_TRUE if Advanced_AI_Capability=advanced_ai_capability_FALSE, Agentic_Planning=agentic_planning_TRUE, Strategic_Awareness=strategic_awareness_TRUE?"": ""estimate_5"", ""What is the probability for APS_Systems=aps_systems_TRUE if Advanced_AI_Capability=advanced_ai_capability_FALSE, Agentic_Planning=agentic_planning_TRUE, Strategic_Awareness=strategic_awareness_FALSE?"": ""estimate_6"", ""What is the probability for APS_Systems=aps_systems_TRUE if Advanced_AI_Capability=advanced_ai_capability_FALSE, Agentic_Planning=agentic_planning_FALSE, Strategic_Awareness=strategic_awareness_TRUE?"": ""estimate_7"", ""What is the probability for APS_Systems=aps_systems_TRUE if Advanced_AI_Capability=advanced_ai_capability_FALSE, Agentic_Planning=agentic_planning_FALSE, Strategic_Awareness=strategic_awareness_FALSE?"": ""estimate_8""}","{""What is the probability for APS_Systems=aps_systems_FALSE?"": ""prior"", ""What is the probability for APS_Systems=aps_systems_FALSE if Advanced_AI_Capability=advanced_ai_capability_TRUE, Agentic_Planning=agentic_planning_TRUE, Strategic_Awareness=strategic_awareness_TRUE?"": ""estimate_1"", ""What is the probability for APS_Systems=aps_systems_FALSE if Advanced_AI_Capability=advanced_ai_capability_TRUE, Agentic_Planning=agentic_planning_TRUE, Strategic_Awareness=strategic_awareness_FALSE?"": ""estimate_2"", ""What is the probability for APS_Systems=aps_systems_FALSE if Advanced_AI_Capability=advanced_ai_capability_TRUE, Agentic_Planning=agentic_planning_FALSE, Strategic_Awareness=strategic_awareness_TRUE?"": ""estimate_3"", ""What is the probability for APS_Systems=aps_systems_FALSE if Advanced_AI_Capability=advanced_ai_capability_TRUE, Agentic_Planning=agentic_planning_FALSE, Strategic_Awareness=strategic_awareness_FALSE?"": ""estimate_4"", ""What is the probability for APS_Systems=aps_systems_FALSE if Advanced_AI_Capability=advanced_ai_capability_FALSE, Agentic_Planning=agentic_planning_TRUE, Strategic_Awareness=strategic_awareness_TRUE?"": ""estimate_5"", ""What is the probability for APS_Systems=aps_systems_FALSE if Advanced_AI_Capability=advanced_ai_capability_FALSE, Agentic_Planning=agentic_planning_TRUE, Strategic_Awareness=strategic_awareness_FALSE?"": ""estimate_6"", ""What is the probability for APS_Systems=aps_systems_FALSE if Advanced_AI_Capability=advanced_ai_capability_FALSE, Agentic_Planning=agentic_planning_FALSE, Strategic_Awareness=strategic_awareness_TRUE?"": ""estimate_7"", ""What is the probability for APS_Systems=aps_systems_FALSE if Advanced_AI_Capability=advanced_ai_capability_FALSE, Agentic_Planning=agentic_planning_FALSE, Strategic_Awareness=strategic_awareness_FALSE?"": ""estimate_8""}"
Advanced_AI_Capability,AI systems that outperform humans on tasks that grant significant power in the world.,5,[5],16,[16],[],['APS_Systems'],"['advanced_ai_capability_TRUE', 'advanced_ai_capability_FALSE']",True,False,[],"{""What is the probability for Advanced_AI_Capability=advanced_ai_capability_TRUE?"": ""prior""}","{""What is the probability for Advanced_AI_Capability=advanced_ai_capability_FALSE?"": ""prior""}"
Agentic_Planning,AI systems making and executing plans based on world models to achieve objectives.,6,[6],16,[16],[],['APS_Systems'],"['agentic_planning_TRUE', 'agentic_planning_FALSE']",True,False,[],"{""What is the probability for Agentic_Planning=agentic_planning_TRUE?"": ""prior""}","{""What is the probability for Agentic_Planning=agentic_planning_FALSE?"": ""prior""}"
Strategic_Awareness,AI systems with models accurately representing power dynamics with humans.,7,[7],16,[16],[],['APS_Systems'],"['strategic_awareness_TRUE', 'strategic_awareness_FALSE']",True,False,[],"{""What is the probability for Strategic_Awareness=strategic_awareness_TRUE?"": ""prior""}","{""What is the probability for Strategic_Awareness=strategic_awareness_FALSE?"": ""prior""}"
